City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,2012,Sailing,Sailing,"DE LA FUENTE, Juan",ARG,Men,470 - Two Person Dinghy,M,Bronze
London,2012,Weightlifting,Weightlifting,"KHURSHUDYAN, Hripsime",ARM,Women,+ 75kg,W,Bronze
London,2012,Rowing,Rowing,"M,cRAE James",AUS,Men,quadruple sculls with coxswain (4x),M,Bronze
London,2012,Rowing,Rowing,"MORGAN, Christopher",AUS,Men,quadruple sculls with coxswain (4x),M,Bronze
London,2012,Rowing,Rowing,"NOONAN, Daniel",AUS,Men,quadruple sculls with coxswain (4x),M,Bronze
London,2012,Taekwondo,Taekwondo,"NIKPAI, Rohullah",AFG,Men,58 - 68 kg,M,Bronze
London,2012,Cycling,Cycling Track,"PERKINS, Shane",AUS,Men,Sprint indivual,M,Bronze
London,2012,Cycling,Cycling Track,"MCCULLOCH, Kaarle",AUS,Women,Team Sprint,W,Bronze
London,2012,Athletics,Athletics,"DENSHAM, Erin",AUS,Women,triathlon (long jump / shot put / 100 yards),W,Bronze
London,2012,Wrestling,Wrestling Gre-R,"ALEKSANYAN, Artur",ARM,Men,84 - 96kg,M,Bronze
London,2012,Aquatics,Water polo,"BEADSWORTH, Gemma",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"BROWN, Victoria",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"GYNTHER, Kate",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"KNOX, Bronwen",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"LINCOLN,-SMITH Holly",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"M,cCORMACK Alicia",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"MORAN, Jane",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"RALPH, Glencora",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"RIPPON, Mel",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"SMITH, Sophie",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"SOUTHERN, Ash",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"WEBSTER, Rowie",AUS,Women,water polo,W,Bronze
London,2012,Aquatics,Water polo,"ZAGAME, Nicola",AUS,Women,water polo,W,Bronze
London,2012,Basketball,Basketball,"BATKOVIC, Suzy",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"BISHOP, Abby",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"CAMBAGE, Elizabeth",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"HODGES, Laura",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"JACKSON, Lauren",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"JARRY, Rachel",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"MACLEOD, Kathleen",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"O,'HEA Jenna",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"RICHARDS, Samantha",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"SCREEN, Jennifer",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"SNELL, Belinda",AUS,Women,basketball,W,Bronze
London,2012,Basketball,Basketball,"HARROWER, Kristi",AUS,Women,basketball,W,Bronze
London,2012,Tennis,Tennis,"DEL, POTRO Juan Martin",ARG,Men,singles,M,Bronze
London,2012,Judo,Judo,"TONG, Wen",CHN,Women,+ 78kg (heavyweight),W,Bronze
London,2012,Athletics,Athletics,"WANG, Zhen",CHN,Men,20km walk,M,Bronze
London,2012,Athletics,Athletics,"SI, Tianfeng",CHN,Men,50km walk,M,Bronze
London,2012,Athletics,Athletics,"QIEYANG, Shenjie",CHN,Women,20km walk,W,Bronze
London,2012,Athletics,Athletics,"GONG, Lijiao",CHN,Women,shot put,W,Bronze
London,2012,Athletics,Athletics,"LI, Yanfeng",CHN,Women,discus throw,W,Bronze
London,2012,Handball,Handball,"ALILOVIC, Mirko",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"LOSERT, Venio",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"STRLEK, Manuel",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"NINCEVIC, Ivan",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"CUPIC, Ivan",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"HORVAT, Zlatko",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"VORI, Igor",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"BALIC, Ivano",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"LACKOVIC, Blazenko",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"DUVNJAK, Domagoj",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"BICANIC, Damir",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"VUKOVIC, Drago",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"GOJUN, Jakov",CRO,Men,handball,M,Bronze
London,2012,Handball,Handball,"BUNTIC, Denis",CRO,Men,handball,M,Bronze
London,2012,Taekwondo,Taekwondo,"ZANINOVIC, Lucija",CRO,Women,- 49 kg,W,Bronze
London,2012,Weightlifting,Weightlifting,"CAMBAR, RODRIGUEZ Ivan",CUB,Men,77kg,M,Bronze
London,2012,Wrestling,Wrestling Free.,"RENTERIA, CASTILLO Jackeline",COL,Women,- 55kg,W,Bronze
